"","zipcode","estimate_households_under_10","estimate_households_10_15","estimate_households_15_25","estimate_households_25_35","estimate_households_35_45","estimate_households_50_75","estimate_households_75_100","estimate_households_100_150","estimate_households_150_200","estimate_households_over_200","median_income"
"28611","83448","0.7","4.8","8.1","15.2","27.6","10.9","9.8","12.6","1.0","9.3","45946"
"28612","83449","0.0","0.0","11.5","10.3","27.6","34.5","12.6","3.4","0.0","0.0","50208"
"28613","83450","1.1","4.6","6.7","14.5","18.8","23.8","16.3","9.6","4.6","0.0","52308"
"28614","83451","0.9","0.0","35.5","8.2","10.3","26.4","12.0","4.1","0.0","2.6","41563"
"28615","83452","3.2","0.0","2.4","4.1","16.3","34.6","16.3","21.9","0.0","1.2","71500"
"28616","83454","0.0","1.9","4.4","15.7","22.0","10.1","14.5","30.2","1.3","0.0","68375"
"28617","83455","2.5","2.5","10.9","15.4","10.3","13.7","19.2","19.0","3.1","3.5","64607"
"28618","83460","-","-","-","-","-","-","-","-","-","-","-"
"28619","83462","11.5","8.3","13.9","18.1","20.5","6.3","15.3","6.3","0.0","0.0","34038"
"28620","83463","16.4","11.9","0.0","0.0","41.8","0.0","0.0","29.9","0.0","0.0","-"
"28621","83464","5.2","3.7","13.3","22.2","20.0","18.5","3.7","13.3","0.0","0.0","40139"
"28622","83465","0.0","0.0","16.4","0.0","16.4","12.7","29.1","14.5","7.3","3.6","75625"
"28623","83466","15.4","0.0","55.7","0.0","0.0","12.1","11.4","5.4","0.0","0.0","22750"
"28624","83467","6.5","5.8","17.6","13.1","14.8","21.5","10.2","8.8","0.9","0.8","38864"
"28625","83468","0.0","15.4","10.8","4.6","3.1","40.0","0.0","26.2","0.0","0.0","52917"
"28626","83469","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","-"
"28627","83501","6.2","4.8","9.9","11.2","14.4","20.0","13.8","12.4","5.3","2.2","54792"
"28628","83520","0.0","10.2","6.5","20.4","18.5","30.6","0.0","8.3","0.0","5.6","44688"
"28629","83522","4.0","8.4","10.0","5.2","20.4","24.8","18.9","4.7","1.3","2.4","54079"
"28630","83523","4.8","6.3","11.1","11.1","21.0","22.5","11.4","8.7","1.2","1.8","47159"
"28631","83524","4.1","6.3","14.0","10.2","13.5","25.8","10.7","9.3","1.9","4.1","51346"
